source,org-name,prefix_root,prefix,created,netname,org,mnt-by,last-modified,exact_origin,country_root,country
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.223.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.224.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.225.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.226.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.227.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.228.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.229.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.230.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.231.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.232.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.233.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.234.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.235.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.236.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.237.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.238.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.239.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.240.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.241.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.242.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.243.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.244.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.246.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.247.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.248.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.249.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.250.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.251.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.252.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.253.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.254.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.255.255.0/24,,ICIDC_Limited,,CIL1-MNT LARUS-SERVICE-MNT,,AS138195,SC,HK
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.0.0/24,,Evoxt_Enterprise,,CIL1-MNT LARUS-SERVICE-MNT,,AS149440,SC,DE
AFRINIC,Cloud Innovation Ltd,156.224.0.0/11,156.227.1.0/24,,Hong_Kong_Tongda_Network,,CIL1-MNT LARUS-SERVICE-MNT,,AS137443;AS58879,SC,HK
