prefix,provider,origin,time,as_path,scrubber
103.71.154.0/24,136933,132325,1733243161.0,"['61218', '6939', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['61218', '6939', '3356', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['61218', '6939', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['3333', '1103', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['3333', '1257', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['34927', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['22652', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['44393', '394256', '6939', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['44393', '58057', '6939', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['34854', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['25152', '6939', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['3399', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['3399', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['51519', '39351', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['51519', '39351', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['51519', '39351', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['35280', '6939', '136933', '136933', '136933', '132325']",35280
103.71.154.0/24,136933,132325,1733243161.0,"['35280', '6939', '136933', '136933', '136933', '132325']",35280
103.71.154.0/24,136933,132325,1733243161.0,"['35280', '6939', '136933', '136933', '136933', '132325']",35280
103.71.154.0/24,136933,132325,1733243161.0,"['35280', '6939', '136933', '136933', '136933', '132325']",35280
103.71.154.0/24,136933,132325,1733243161.0,"['35280', '1299', '59796', '136933', '132325']","59796,35280"
103.71.154.0/24,136933,132325,1733243161.0,"['6667', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['6667', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['6667', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['199524', '6939', '136933', '136933', '136933', '132325']",199524
103.71.154.0/24,136933,132325,1733243161.0,"['199524', '174', '3491', '136933', '136933', '132325']",199524
103.71.154.0/24,136933,132325,1733243161.0,"['199524', '1299', '59796', '136933', '132325']","59796,199524"
103.71.154.0/24,136933,132325,1733243161.0,"['42473', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['42473', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['24482', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['5392', '50877', '204471', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['12637', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['199524', '6762', '3491', '136933', '136933', '132325']",199524
103.71.154.0/24,136933,132325,1733243161.0,"['24482', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['199524', '174', '3491', '136933', '136933', '132325']",199524
103.71.154.0/24,136933,132325,1733243161.0,"['9304', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['24482', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['199524', '33891', '59796', '136933', '132325']","59796,199524"
103.71.154.0/24,136933,132325,1733243161.0,"['13030', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['13030', '3223', '136933', '136933', '136933', '136933', '132325']",3223
103.71.154.0/24,136933,132325,1733243161.0,"['13030', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['8218', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['6762', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['206356', '47147', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['206356', '47147', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['57695', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['57695', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['24482', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['51184', '47692', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['6461', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['47692', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['34288', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['47147', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['2914', '59796', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['24961', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['29140', '2914', '59796', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['34019', '8218', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243161.0,"['48919', '6939', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243162.0,"['47147', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243162.0,"['206356', '47147', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243162.0,"['37721', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243162.0,"['3257', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243162.0,"['35598', '1299', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243162.0,"['29140', '286', '33891', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243162.0,"['5392', '3356', '9002', '9002', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243162.0,"['20811', '2914', '59796', '59796', '136933', '132325']",59796
103.71.154.0/24,136933,132325,1733243162.0,"['51185', '6762', '9002', '59796', '136933', '132325']",59796
