Unnamed: 0,prefix,provider,origin,time,as_path,scrubber
266,69.10.42.0/24,396998,19318,1733218858,"['58057', '34549', '396998', '19318']",396998
267,69.10.42.0/24,396998,19318,1733218858,"['58057', '1836', '5511', '3257', '396998', '19318']",396998
268,69.10.42.0/24,396998,19318,1733218858,"['58057', '1836', '5511', '3257', '396998', '19318']",396998
269,69.10.42.0/24,396998,19318,1733218858,"['206499', '34549', '396998', '19318']",396998
270,69.10.42.0/24,396998,19318,1733218858,"['13830', '3356', '3257', '396998', '19318']",396998
271,69.10.42.0/24,396998,19318,1733218858,"['13830', '3356', '3257', '396998', '19318']",396998
272,69.10.42.0/24,396998,19318,1733218858,"['1403', '1299', '3257', '396998', '19318']",396998
273,69.10.42.0/24,396998,19318,1733218858,"['1403', '577', '3257', '396998', '19318']",396998
274,69.10.42.0/24,396998,19318,1733218858,"['13830', '3356', '3257', '396998', '19318']",396998
275,69.10.42.0/24,396998,19318,1733218858,"['14907', '396998', '19318']",396998
276,69.10.42.0/24,396998,19318,1733218858,"['29504', '15935', '9002', '396998', '19318']",396998
277,69.10.42.0/24,396998,19318,1733218858,"['57821', '12586', '3257', '396998', '19318']",396998
278,69.10.42.0/24,396998,19318,1733218858,"['7018', '3257', '396998', '19318']",396998
279,69.10.42.0/24,396998,19318,1733218858,"['7018', '3257', '396998', '19318']",396998
280,69.10.42.0/24,396998,19318,1733218858,"['61218', '6939', '396998', '19318']",396998
281,69.10.42.0/24,396998,19318,1733218858,"['34927', '56655', '396998', '19318']",396998
282,69.10.42.0/24,396998,19318,1733218858,"['3333', '1103', '2603', '9002', '396998', '19318']",396998
283,69.10.42.0/24,396998,19318,1733218858,"['6461', '3257', '396998', '19318']",396998
284,69.10.42.0/24,396998,19318,1733218858,"['6461', '3257', '396998', '19318']",396998
285,69.10.42.0/24,396998,19318,1733218858,"['9002', '396998', '19318']",396998
286,69.10.42.0/24,396998,19318,1733218858,"['1299', '3257', '396998', '19318']",396998
287,69.10.42.0/24,396998,19318,1733218858,"['1299', '3257', '396998', '19318']",396998
288,69.10.42.0/24,396998,19318,1733218858,"['286', '3257', '396998', '19318']",396998
289,69.10.42.0/24,396998,19318,1733218858,"['36924', '35280', '396998', '19318']","396998,35280"
