IP Prefix,ASNs
2a04:4a43:4800::/40,"AS198949, AS206067"
2a04:4a43:4900::/40,"AS198949, AS206067"
2a04:4a43:4a00::/40,"AS198949, AS206067"
2a04:4a43:4b00::/40,"AS198949, AS206067"
2a04:4a43:4c00::/40,"AS198949, AS206067"
2a04:4a43:4d00::/40,"AS198949, AS206067"
2a04:4a43:4e00::/40,"AS198949, AS206067"
2a04:4a43:4f00::/40,"AS198949, AS206067"
2a04:4a43:5000::/40,"AS198949, AS206067"
2a04:4a43:5100::/40,"AS198949, AS206067"
2a04:4a43:5200::/40,"AS198949, AS206067"
2a04:4a43:5300::/40,"AS198949, AS206067"
2a04:4a43:5400::/40,"AS198949, AS206067"
2a04:4a43:5500::/40,"AS198949, AS206067"
2a04:4a43:5600::/40,"AS198949, AS206067"
2a04:4a43:5700::/40,"AS198949, AS206067"
2a04:4a43:5800::/40,"AS198949, AS206067"
2a04:4a43:8400::/40,"AS198949, AS206067"
2a04:4a43:8500::/40,"AS198949, AS206067"
2a04:4a43:8600::/40,"AS198949, AS206067"
2a04:4a43:8700::/40,"AS198949, AS206067"
2a04:4a43:8800::/40,"AS198949, AS206067"
2a04:4a43:8900::/40,"AS198949, AS206067"
2a04:4a43:8a00::/40,"AS198949, AS206067"
2a04:4a43:8b00::/40,"AS198949, AS206067"
2a04:4a43:8c00::/40,"AS198949, AS206067"
2a04:4a43:8d00::/40,"AS198949, AS206067"
2a04:4a43:8e00::/40,"AS198949, AS206067"
2a04:4a43:8f00::/40,"AS198949, AS206067"
2a04:4a43:9000::/40,"AS198949, AS206067"
2a04:4a43:9100::/40,"AS198949, AS206067"
2a04:4a43:9200::/40,"AS198949, AS206067"
2a04:4a43:9300::/40,"AS198949, AS206067"
2a04:4a43:9400::/40,"AS198949, AS206067"
2a04:4a43:9500::/40,"AS198949, AS206067"
2a04:4a43:9600::/40,"AS198949, AS206067"
2a04:4a43:9700::/40,"AS198949, AS206067"
2a04:4a43:9800::/40,"AS198949, AS206067"
2a04:4a45:f::/48,"AS198949, AS206067"
2a04:b0c0::/45,"AS198949, AS201017"
2a04:b0c0:8::/45,"AS198949, AS201017"
2a06:4280::/29,"AS198949, AS60032"
2a06:c900::/29,"AS198949, AS207589"
2a07:1980::/29,"AS198949, AS25773"
2a0c:3040::/29,"AS13054, AS198949"
